Изборна единица,Општина,Избирачко место,Подносител на листа,Освоени гласови
1,АЕРОДРОМ,2679,СДУ,1
1,АЕРОДРОМ,2679,ЕДИНСТВЕНА МАКЕДОНИЈА,0
1,АЕРОДРОМ,2679,МОРО,0
1,АЕРОДРОМ,2679,ВМРО - ДПМНЕ и други,106
1,АЕРОДРОМ,2679,ТВОЈА,1
1,АЕРОДРОМ,2679/1,ДПА,0
1,АЕРОДРОМ,2679/1,ДЕМОКРАТИ,0
1,АЕРОДРОМ,2679/1,КОАЛИЦИЈА МОЖЕМЕ,90
1,АЕРОДРОМ,2679/1,ЛЕВИЦА,31
1,АЕРОДРОМ,2679/1,АА / A,0
1,АЕРОДРОМ,2679/1,ГЛАС ЗА МАКЕДОНИЈА,2
1,АЕРОДРОМ,2679/1,ГДУ,0
1,АЕРОДРОМ,2679/1,ИНТЕГРА,3
1,АЕРОДРОМ,2679/1,ДУИ,0
1,АЕРОДРОМ,2679/1,СДУ,1
1,АЕРОДРОМ,2679/1,ЕДИНСТВЕНА МАКЕДОНИЈА,0
1,АЕРОДРОМ,2679/1,МОРО,2
1,АЕРОДРОМ,2679/1,ВМРО - ДПМНЕ и други,109
1,АЕРОДРОМ,2679/1,ТВОЈА,2
1,АЕРОДРОМ,2680,ДПА,0
1,АЕРОДРОМ,2680,ДЕМОКРАТИ,0
1,АЕРОДРОМ,2680,КОАЛИЦИЈА МОЖЕМЕ,118
1,АЕРОДРОМ,2680,ЛЕВИЦА,31
1,АЕРОДРОМ,2680,АА / A,0
1,АЕРОДРОМ,2680,ГЛАС ЗА МАКЕДОНИЈА,0
1,АЕРОДРОМ,2680,ГДУ,3
1,АЕРОДРОМ,2680,ИНТЕГРА,7
1,АЕРОДРОМ,2680,ДУИ,1
1,АЕРОДРОМ,2680,СДУ,7
1,АЕРОДРОМ,2680,ЕДИНСТВЕНА МАКЕДОНИЈА,0
1,АЕРОДРОМ,2680,МОРО,2
1,АЕРОДРОМ,2680,ВМРО - ДПМНЕ и други,127
1,АЕРОДРОМ,2680,ТВОЈА,0
1,АЕРОДРОМ,2680/1,ДПА,0
1,АЕРОДРОМ,2680/1,ДЕМОКРАТИ,0
1,АЕРОДРОМ,2680/1,КОАЛИЦИЈА МОЖЕМЕ,107
1,АЕРОДРОМ,2680/1,ЛЕВИЦА,19
1,АЕРОДРОМ,2680/1,АА / A,0
1,АЕРОДРОМ,2680/1,ГЛАС ЗА МАКЕДОНИЈА,0
1,АЕРОДРОМ,2680/1,ГДУ,0
1,АЕРОДРОМ,2680/1,ИНТЕГРА,2
1,АЕРОДРОМ,2680/1,ДУИ,0
1,АЕРОДРОМ,2680/1,СДУ,1
1,АЕРОДРОМ,2680/1,ЕДИНСТВЕНА МАКЕДОНИЈА,2
1,АЕРОДРОМ,2680/1,МОРО,0
1,АЕРОДРОМ,2680/1,ВМРО - ДПМНЕ и други,132
1,АЕРОДРОМ,2680/1,ТВОЈА,1
1,АЕРОДРОМ,2681,ДПА,0
1,АЕРОДРОМ,2681,ДЕМОКРАТИ,0
1,АЕРОДРОМ,2681,КОАЛИЦИЈА МОЖЕМЕ,190
1,АЕРОДРОМ,2681,ЛЕВИЦА,58
1,АЕРОДРОМ,2681,АА / A,0
1,АЕРОДРОМ,2681,ГЛАС ЗА МАКЕДОНИЈА,4
1,АЕРОДРОМ,2681,ГДУ,0
1,АЕРОДРОМ,2681,ИНТЕГРА,19
1,АЕРОДРОМ,2681,ДУИ,3
1,АЕРОДРОМ,2681,СДУ,5
1,АЕРОДРОМ,2681,ЕДИНСТВЕНА МАКЕДОНИЈА,5
1,АЕРОДРОМ,2681,МОРО,1
1,АЕРОДРОМ,2681,ВМРО - ДПМНЕ и други,252
1,АЕРОДРОМ,2681,ТВОЈА,3
1,АЕРОДРОМ,2682,ДПА,1
1,АЕРОДРОМ,2682,ДЕМОКРАТИ,0
1,АЕРОДРОМ,2682,КОАЛИЦИЈА МОЖЕМЕ,129
1,АЕРОДРОМ,2682,ЛЕВИЦА,46
1,АЕРОДРОМ,2682,АА / A,3
1,АЕРОДРОМ,2682,ГЛАС ЗА МАКЕДОНИЈА,3
1,АЕРОДРОМ,2682,ГДУ,1
1,АЕРОДРОМ,2682,ИНТЕГРА,5
1,АЕРОДРОМ,2682,ДУИ,2
1,АЕРОДРОМ,2682,СДУ,2
1,АЕРОДРОМ,2682,ЕДИНСТВЕНА МАКЕДОНИЈА,1
1,АЕРОДРОМ,2682,МОРО,1
1,АЕРОДРОМ,2682,ВМРО - ДПМНЕ и други,137
1,АЕРОДРОМ,2682,ТВОЈА,3
1,АЕРОДРОМ,2682/1,ДПА,0
1,АЕРОДРОМ,2682/1,ДЕМОКРАТИ,0
1,АЕРОДРОМ,2682/1,КОАЛИЦИЈА МОЖЕМЕ,101
1,АЕРОДРОМ,2682/1,ЛЕВИЦА,43
1,АЕРОДРОМ,2682/1,АА / A,0
1,АЕРОДРОМ,2682/1,ГЛАС ЗА МАКЕДОНИЈА,1
1,АЕРОДРОМ,2682/1,ГДУ,1
1,АЕРОДРОМ,2682/1,ИНТЕГРА,4
1,АЕРОДРОМ,2682/1,ДУИ,0
1,АЕРОДРОМ,2682/1,СДУ,1
1,АЕРОДРОМ,2682/1,ЕДИНСТВЕНА МАКЕДОНИЈА,1
1,АЕРОДРОМ,2682/1,МОРО,1
1,АЕРОДРОМ,2682/1,ВМРО - ДПМНЕ и други,104
1,АЕРОДРОМ,2682/1,ТВОЈА,2
1,АЕРОДРОМ,2683,ДПА,1
1,АЕРОДРОМ,2683,ДЕМОКРАТИ,0
1,АЕРОДРОМ,2683,КОАЛИЦИЈА МОЖЕМЕ,193
1,АЕРОДРОМ,2683,ЛЕВИЦА,75
1,АЕРОДРОМ,2683,АА / A,0
1,АЕРОДРОМ,2683,ГЛАС ЗА МАКЕДОНИЈА,2
1,АЕРОДРОМ,2683,ГДУ,0
1,АЕРОДРОМ,2683,ИНТЕГРА,13
1,АЕРОДРОМ,2683,ДУИ,0
1,АЕРОДРОМ,2683,СДУ,2
1,АЕРОДРОМ,2683,ЕДИНСТВЕНА МАКЕДОНИЈА,3
1,АЕРОДРОМ,2683,МОРО,1
1,АЕРОДРОМ,2683,ВМРО - ДПМНЕ и други,179
1,АЕРОДРОМ,2683,ТВОЈА,6
1,АЕРОДРОМ,2683/1,ДПА,0
1,АЕРОДРОМ,2683/1,ДЕМОКРАТИ,0
1,АЕРОДРОМ,2683/1,КОАЛИЦИЈА МОЖЕМЕ,175
1,АЕРОДРОМ,2683/1,ЛЕВИЦА,42
1,АЕРОДРОМ,2683/1,АА / A,0
1,АЕРОДРОМ,2683/1,ГЛАС ЗА МАКЕДОНИЈА,1
1,АЕРОДРОМ,2683/1,ГДУ,0
1,АЕРОДРОМ,2683/1,ИНТЕГРА,5
1,АЕРОДРОМ,2683/1,ДУИ,0
1,АЕРОДРОМ,2683/1,СДУ,2
1,АЕРОДРОМ,2683/1,ЕДИНСТВЕНА МАКЕДОНИЈА,0
1,АЕРОДРОМ,2683/1,МОРО,0
